category,ideas
Physical,"""Take a nature walk and identify plants"""
Creative,"""Try a new recipe you have't cooked before"""
Physical,"""Summon Cthulhu with a blood sacrifice"""
Creative," ""Build a small DIY project"""
Wellness,"""Commit tax fraud"""
Social,"""Make friends with the raccooons"""
Physical,"""Dance"""
Wellness,"""Listen to jazz on drugs"""
Wellness,"""Reflect on where you are in life"""
Wellness,"""Listen to Plantasia by Mort Garson"""
Wellness,"""Leave your job, move to the tropics and never come back"""
Creative,"""Take psychedelics in the forest"""
Wellness,"""Appreciate everything around you"""
Physical,"""Do 100 pushups"""
Creative,"""Become a certified reverend online"""
Bad,"""Enroll in grad school"""
Social,"""Call your friends"""
Creative,"""Host your own iron chef challenge with random ingredients"""
Wellness,"""Go stargazing"""
Creative,"""Learn an extremly niche skill"""
Social,"""Drink 7 beers at the bar"""
Bad,"""text your ex-situationship or ex"""
Bad,"""Stick you hands in a wasp nest"""
Bad,"""Do a university STEM degree"""
Wellness,"""drink beer"
Wellness,"""Become feral"""
Wellness,"""Abuse substances"""
Bad,"""Reflect on if all the bugs you've squished and killed deserved to die"""
Creative,"""Paint a painting"""
Creative,"""Sculpt someone in your life with clay"""
Social,"""Go to the next live music event in your city"""
